title,creators,year_or_source,source_queries_matched,permalink
DockerizeMe: Automatic Inference of Environment Dependencies for Python Code Snippets,"Horton, Eric ; Parnin, Chris","Proceedings / International Conference on Software Engineering, 2019, p.328-338",SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_8811897
Towards A Standardized Aerial Platform: ICUAS’22 Firefighting Competition,"Markovic, Lovro ; Petric, Frano ; Ivanovic, Antun ; Goricanec, Jurica ; Car, Marko ; Orsag, Matko ; Bogdan, Stjepan","Journal of intelligent & robotic systems, 2023-07, Vol.108 (3), p.52, Article 52",SQ1,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_citationtrail_10_1007_s10846_023_01909_z
An Empirical Study of Fuzz Harness Degradation,"Görz, Philipp ; Schilling, Joschua ; Bissantz, Nicolai ; Holz, Thorsten","Proceedings of the ACM on software engineering, 2026-06, Vol.3 (FSE), p.3746-3768, Article FSE165",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_primary_3808172
"SWE Data Construction, Automatically!","Guo, Lianghong ; Wang, Yanlin ; Li, Caihua ; Tao, Wei ; Yang, Pengyu ; Chen, Jiachi ; Song, Haoyu ; Tang, Duyu ; Zheng, Zibin","Proceedings of the ACM on software engineering, 2026-06, Vol.3 (FSE), p.525-546, Article FSE024",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_primary_3797119
V2: fast detection of configuration drift in Python,"Horton, Eric ; Parnin, Chris","IEEE/ACM International Conference on Automated Software Engineering : [proceedings], 2019, p.477-488",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_8952262
On the benefits and limits of incremental build of software configurations: an exploratory study,"Randrianaina, Georges Aaron ; Tërnava, Xhevahire ; Khelladi, Djamel Eddine ; Acher, Mathieu","Proceedings of the 44th International Conference on Software Engineering, 2022, p.1584-1596",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3510003_3510190_brief
Will it run?—A proof of concept for smoke testing decentralized data analytics experiments,"Welten, Sascha ; Weber, Sven ; Holt, Adrian ; Beyan, Oya ; Decker, Stefan","Frontiers in medicine, 2024-01, Vol.10, p.1305415",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_pubmedcentral_primary_oai_pubmedcentral_nih_gov_10801058
The Impact of Code Ownership of DevOps Artefacts on the Outcome of DevOps CI Builds,"Kola-Olawuyi, Ajiromola ; Weeraddana, Nimmi Rashinika ; Nagappan, Meiyappan","Proceedings (IEEE/ACM International Conference on Mining Software Repositories. Online), 2024, p.543-555",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3643991_3644924
Learning DevOps,"Verona, Joakim ; Duffy, Michael ; Swartout, Paul",,SQ1,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_proquest_ebookcentral_EBC4696563
Examining Cryptography and Randomness Failures in Open-Source Cellular Cores,"English, K. Virgil ; Bennett, Nathaniel ; Thorn, Seaver ; Butler, Kevin R. B. ; Enck, William ; Traynor, Patrick","Proceedings of the Fourteenth ACM Conference on Data and Application Security and Privacy, 2024, p.43-54",SQ1,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3626232_3653259_brief
Continuous Integration for HPC with Github Actions and Tapis,"Pachev, Benjamin ; Stuart, Georgia ; Dawson, Clint; Wernert, Julie ; Chalker, Alan ; Smallen, Shava ; Samuel, Tabitha ; Navarro, JP","Practice and Experience in Advanced Research Computing 2022: Revolutionary: Computing, Connections, You, 2022, p.1-4",SQ1,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3491418_3535124_brief
Minimizing privilege for building HPC containers,"Priedhorsky, Reid ; Canon, R. Shane ; Randles, Timothy ; Younge, Andrew J.","Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis, 2021, p.1-14",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_9910066
ATTEST: Automated and Thorough Testing of Embedded Software in Teaching,"Kissich, Meinhard ; Weinbauer, Klaus ; Baunach, Marcel; Mottok, Jürgen","Proceedings of the 5th European Conference on Software Engineering Education, 2023, p.199-203",SQ1,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3593663_3593678
An empirical study on self-admitted technical debt in Dockerfiles,"Azuma, Hideaki ; Matsumoto, Shinsuke ; Kamei, Yasutaka ; Kusumoto, Shinji","Empirical software engineering : an international journal, 2022-03, Vol.27 (2), Article 49",SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_springer_journals_10_1007_s10664_021_10081_7
Refactorings and technical debt in docker projects: an empirical study,"Ksontini, Emna ; Kessentini, Marouane ; Ferreira, Thiago do N. ; Hassan, Foyzul","IEEE/ACM International Conference on Automated Software Engineering : [proceedings], 2021, p.781-791",GS;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1109_ASE51524_2021_9678585_brief
Characterizing the Occurrence of Dockerfile Smells in Open-Source Software: An Empirical Study,"Wu, Yiwen ; Zhang, Yang ; Wang, Tao ; Wang, Huaimin","IEEE access, 2020, Vol.8, p.34127-34139",GS;SQ2,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_doaj_primary_oai_doaj_org_article_ccd0208764af4345a45acc8a4ee02420
An Empirical Case Study on the Temporary File Smell in Dockerfiles,"Lu, Zhigang ; Xu, Jiwei ; Wu, Yuewen ; Wang, Tao ; Huang, Tao","IEEE access, 2019, Vol.7, p.63650-63659",GS;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_8667832
Quantifying and characterizing clones of self-admitted technical debt in build systems,"Xiao, Tao ; Zeng, Zhili ; Wang, Dong ; Hata, Hideaki ; McIntosh, Shane ; Matsumoto, Kenichi","Empirical software engineering : an international journal, 2024-03, Vol.29 (2), p.54, Article 54",SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_citationtrail_10_1007_s10664_024_10449_5
Not all Dockerfile Smells are the Same: An Empirical Evaluation of Hadolint Writing Practices by Experts,"Rosa, Giovanni ; Scalabrino, Simone ; Robles, Gregorio ; Oliveto, Rocco","Proceedings (IEEE/ACM International Conference on Mining Software Repositories. Online), 2024, p.231-241",GS;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3643991_3644905_brief
DockerCleaner: Automatic Repair of Security Smells in Dockerfiles,"Bui, Quang-Cuong ; Laukotter, Malte ; Scandariato, Riccardo","Proceedings - Conference on Software Maintenance (1987), 2023, p.160-170",GS;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_10336292
Towards microservice smells detection,"Pigazzini, Ilaria ; Fontana, Francesca Arcelli ; Lenarduzzi, Valentina ; Taibi, Davide","Proceedings of the 3rd International Conference on Technical Debt, 2020, p.92-97",SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3387906_3388625_brief
